nome,siglaPartido,Coalizao
Abilio Brunini,PL,oposicao
Acácio Favacho,MDB,centrao_mdb
Adail Filho,REPUBLICANOS,centrao_mdb
Adilson Barroso,PL,oposicao
Adolfo Viana,PSDB,centrao_uniao
Adriana Ventura,NOVO,oposicao
Adriano do Baldy,PP,centrao_uniao
Aécio Neves,PSDB,centrao_uniao
Afonso Hamm,PP,centrao_uniao
Afonso Motta,PDT,centrao_uniao
Aguinaldo Ribeiro,PP,centrao_uniao
Airton Faleiro,PT,governo
AJ Albuquerque,PP,centrao_uniao
Alberto Fraga,PL,oposicao
Alberto Mourão,MDB,centrao_mdb
Albuquerque,REPUBLICANOS,centrao_mdb
Alceu Moreira,MDB,centrao_mdb
Alencar Santana,PT,governo
Alex Manente,CIDADANIA,centrao_uniao
Alex Santana,REPUBLICANOS,centrao_mdb
Alexandre Guimarães,MDB,centrao_mdb
Alexandre Leite,UNIÃO,centrao_uniao
Alexandre Lindenmeyer,PT,governo
Alfredinho,PT,governo
Alfredo Gaspar,UNIÃO,centrao_uniao
Alice Portugal,PCdoB,governo
Aliel Machado,PV,governo
Altineu Côrtes,PL,oposicao
Aluisio Mendes,REPUBLICANOS,centrao_mdb
Amália Barros,PL,oposicao
Amanda Gentil,PP,centrao_uniao
Amaro Neto,REPUBLICANOS,centrao_mdb
Amom Mandel,CIDADANIA,centrao_uniao
Ana Paula Leão,PP,centrao_uniao
Ana Paula Lima,PT,governo
Ana Pimentel,PT,governo
André Fernandes,PL,oposicao
André Ferreira,PL,oposicao
André Figueiredo,PDT,centrao_uniao
André Janones,AVANTE,centrao_uniao
Andreia Siqueira,MDB,centrao_mdb
Antônia Lúcia,REPUBLICANOS,centrao_mdb
Antonio Andrade,REPUBLICANOS,centrao_mdb
Antonio Brito,PSD,centrao_mdb
Antonio Carlos Rodrigues,PL,oposicao
Antônio Doido,MDB,centrao_mdb
Any Ortiz,CIDADANIA,centrao_uniao
Arlindo Chinaglia,PT,governo
Arnaldo Jardim,CIDADANIA,centrao_uniao
Arthur Lira,PP,centrao_uniao
Arthur Oliveira Maia,UNIÃO,centrao_uniao
Átila Lins,PSD,centrao_mdb
Átila Lira,PP,centrao_uniao
Augusto Coutinho,REPUBLICANOS,centrao_mdb
Augusto Puppio,MDB,centrao_mdb
Aureo Ribeiro,SOLIDARIEDADE,centrao_uniao
Bacelar,PV,governo
Baleia Rossi,MDB,centrao_mdb
Bandeira de Mello,PSB,governo
Bebeto,PP,centrao_uniao
Benedita da Silva,PT,governo
Benes Leocádio,UNIÃO,centrao_uniao
Beto Pereira,PSDB,centrao_uniao
Beto Richa,PSDB,centrao_uniao
Bia Kicis,PL,oposicao
Bibo Nunes,PL,oposicao
Bohn Gass,PT,governo
Bruno Farias,AVANTE,centrao_uniao
Bruno Ganem,PODE,centrao_mdb
Cabo Gilberto Silva,PL,oposicao
Camila Jara,PT,governo
Capitão Alberto Neto,PL,oposicao
Capitão Alden,PL,oposicao
Capitão Augusto,PL,oposicao
Carla Zambelli,PL,oposicao
Carlos Chiodini,MDB,centrao_mdb
Carlos Henrique Gaguim,UNIÃO,centrao_uniao
Carlos Sampaio,PSD,centrao_mdb
Carlos Veras,PT,governo
Carlos Zarattini,PT,governo
Carol Dartora,PT,governo
Caroline de Toni,PL,oposicao
Castro Neto,PSD,centrao_mdb
Célia Xakriabá,PSOL,governo
Célio Silveira,MDB,centrao_mdb
Célio Studart,PSD,centrao_mdb
Celso Russomanno,REPUBLICANOS,centrao_mdb
Cezinha de Madureira,PSD,centrao_mdb
Charles Fernandes,PSD,centrao_mdb
Chico Alencar,PSOL,governo
Chiquinho Brazão,S.PART.,outros
Chris Tonietto,PL,oposicao
Clarissa Tércio,PP,centrao_uniao
Claudio Cajado,PP,centrao_uniao
Cleber Verde,MDB,centrao_mdb
Clodoaldo Magalhães,PV,governo
Cobalchini,MDB,centrao_mdb
Coronel Assis,UNIÃO,centrao_uniao
Coronel Chrisóstomo,PL,oposicao
Coronel Fernanda,PL,oposicao
Coronel Meira,PL,oposicao
Coronel Telhada,PP,centrao_uniao
Coronel Ulysses,UNIÃO,centrao_uniao
Covatti Filho,PP,centrao_uniao
Cristiane Lopes,UNIÃO,centrao_uniao
Da Vitoria,PP,centrao_uniao
Dagoberto Nogueira,PSDB,centrao_uniao
Daiana Santos,PCdoB,governo
Dal Barreto,UNIÃO,centrao_uniao
Damião Feliciano,UNIÃO,centrao_uniao
Dandara,PT,governo
Dani Cunha,UNIÃO,centrao_uniao
Daniel Agrobom,PL,oposicao
Daniel Almeida,PCdoB,governo
Daniel Barbosa,PP,centrao_uniao
Daniel Freitas,PL,oposicao
Daniel Trzeciak,PSDB,centrao_uniao
Daniela do Waguinho,UNIÃO,centrao_uniao
Daniela Reinehr,PL,oposicao
Danilo Forte,UNIÃO,centrao_uniao
Darci de Matos,PSD,centrao_mdb
David Soares,UNIÃO,centrao_uniao
Dayany Bittencourt,UNIÃO,centrao_uniao
Defensor Stélio Dener,REPUBLICANOS,centrao_mdb
Delegada Adriana Accorsi,PT,governo
Delegada Ione,AVANTE,centrao_uniao
Delegada Katarina,PSD,centrao_mdb
Delegado Caveira,PL,oposicao
Delegado da Cunha,PP,centrao_uniao
Delegado Éder Mauro,PL,oposicao
Delegado Fabio Costa,PP,centrao_uniao
Delegado Marcelo Freitas,UNIÃO,centrao_uniao
Delegado Matheus Laiola,UNIÃO,centrao_uniao
Delegado Palumbo,MDB,centrao_mdb
Delegado Paulo Bilynskyj,PL,oposicao
Delegado Ramagem,PL,oposicao
Délio Pinheiro,PDT,centrao_uniao
Denise Pessôa,PT,governo
Detinha,PL,oposicao
Diego Andrade,PSD,centrao_mdb
Diego Coronel,PSD,centrao_mdb
Diego Garcia,REPUBLICANOS,centrao_mdb
Dilceu Sperafico,PP,centrao_uniao
Dilvanda Faro,PT,governo
Dimas Fabiano,PP,centrao_uniao
Dimas Gadelha,PT,governo
Domingos Neto,PSD,centrao_mdb
Domingos Sávio,PL,oposicao
Dorinaldo Malafaia,PDT,centrao_uniao
Douglas Viegas,UNIÃO,centrao_uniao
Doutor Luizinho,PP,centrao_uniao
Dr. Allan Garcês,PP,centrao_uniao
Dr. Benjamim,UNIÃO,centrao_uniao
Dr. Daniel Soranz,PSD,centrao_mdb
Dr. Fernando Máximo,UNIÃO,centrao_uniao
Dr. Francisco,PT,governo
Dr. Frederico,PRD,centrao_uniao
Dr. Jaziel,PL,oposicao
Dr. Luiz Ovando,PP,centrao_uniao
Dr. Victor Linhalis,PODE,centrao_mdb
Dr. Zacharias Calil,UNIÃO,centrao_uniao
Dra. Alessandra Haber,MDB,centrao_mdb
Duarte Gonçalves Jr,REPUBLICANOS,centrao_mdb
Duarte Jr.,PSB,governo
Duda Ramos,MDB,centrao_mdb
Duda Salabert,PDT,centrao_uniao
Eduardo Bismarck,PDT,centrao_uniao
Eduardo Bolsonaro,PL,oposicao
Eduardo da Fonte,PP,centrao_uniao
Eduardo Velloso,UNIÃO,centrao_uniao
Elcione Barbalho,MDB,centrao_mdb
Eli Borges,PL,oposicao
Elmar Nascimento,UNIÃO,centrao_uniao
Ely Santos,REPUBLICANOS,centrao_mdb
Emanuel Pinheiro Neto,MDB,centrao_mdb
Emidinho Madeira,PL,oposicao
Eriberto Medeiros,PSB,governo
Erika Hilton,PSOL,governo
Erika Kokay,PT,governo
Eros Biondini,PL,oposicao
Eunício Oliveira,MDB,centrao_mdb
Evair Vieira de Melo,PP,centrao_uniao
Fábio Macedo,PODE,centrao_mdb
Fabio Schiochet,UNIÃO,centrao_uniao
Fábio Teruel,MDB,centrao_mdb
Fausto Pinato,PP,centrao_uniao
Felipe Carreras,PSB,governo
Felipe Francischini,UNIÃO,centrao_uniao
Félix Mendonça Júnior,PDT,centrao_uniao
Fernanda Melchionna,PSOL,governo
Fernanda Pessoa,UNIÃO,centrao_uniao
Fernando Coelho Filho,UNIÃO,centrao_uniao
Fernando Mineiro,PT,governo
Fernando Monteiro,PP,centrao_uniao
Fernando Rodolfo,PL,oposicao
Filipe Barros,PL,oposicao
Filipe Martins,PL,oposicao
Flávia Morais,PDT,centrao_uniao
Flávio Nogueira,PT,governo
Florentino Neto,PT,governo
Franciane Bayer,REPUBLICANOS,centrao_mdb
Fred Costa,PRD,centrao_uniao
Fred Linhares,REPUBLICANOS,centrao_mdb
Gabriel Mota,REPUBLICANOS,centrao_mdb
Gabriel Nunes,PSD,centrao_mdb
General Girão,PL,oposicao
General Pazuello,PL,oposicao
Geovania de Sá,PSDB,centrao_uniao
Geraldo Mendes,UNIÃO,centrao_uniao
Geraldo Resende,PSDB,centrao_uniao
Gerlen Diniz,PP,centrao_uniao
Gervásio Maia,PSB,governo
Giacobo,PL,oposicao
Gilberto Abramo,REPUBLICANOS,centrao_mdb
Gilberto Nascimento,PSD,centrao_mdb
Gilson Daniel,PODE,centrao_mdb
Gilson Marques,NOVO,oposicao
Gilvan da Federal,PL,oposicao
Gilvan Maximo,REPUBLICANOS,centrao_mdb
Giovani Cherini,PL,oposicao
Gisela Simona,UNIÃO,centrao_uniao
Glauber Braga,PSOL,governo
Glaustin da Fokus,PODE,centrao_mdb
Gleisi Hoffmann,PT,governo
Greyce Elias,AVANTE,centrao_uniao
Guilherme Boulos,PSOL,governo
Guilherme Uchoa,PSB,governo
Gustavo Gayer,PL,oposicao
Gustinho Ribeiro,REPUBLICANOS,centrao_mdb
Gutemberg Reis,MDB,centrao_mdb
Heitor Schuch,PSB,governo
Helder Salomão,PT,governo
Helena Lima,MDB,centrao_mdb
Hélio Leite,UNIÃO,centrao_uniao
Helio Lopes,PL,oposicao
Henderson Pinto,MDB,centrao_mdb
Hercílio Coelho Diniz,MDB,centrao_mdb
Hugo Leal,PSD,centrao_mdb
Hugo Motta,REPUBLICANOS,centrao_mdb
Icaro de Valmir,PL,oposicao
Idilvan Alencar,PDT,centrao_uniao
Igor Timo,PODE,centrao_mdb
Ismael,PSD,centrao_mdb
Ismael Alexandrino,PSD,centrao_mdb
Isnaldo Bulhões Jr.,MDB,centrao_mdb
Ivan Valente,PSOL,governo
Ivoneide Caetano,PT,governo
Iza Arruda,MDB,centrao_mdb
Jack Rocha,PT,governo
Jadyel Alencar,REPUBLICANOS,centrao_mdb
Jandira Feghali,PCdoB,governo
Jeferson Rodrigues,REPUBLICANOS,centrao_mdb
Jefferson Campos,PL,oposicao
Jilmar Tatto,PT,governo
João Carlos Bacelar,PL,oposicao
João Daniel,PT,governo
João Leão,PP,centrao_uniao
João Maia,PP,centrao_uniao
Joaquim Passarinho,PL,oposicao
Jonas Donizette,PSB,governo
Jorge Braz,REPUBLICANOS,centrao_mdb
Jorge Goetten,PL,oposicao
Jorge Solla,PT,governo
José Airton Félix Cirilo,PT,governo
José Guimarães,PT,governo
José Medeiros,PL,oposicao
José Nelto,PP,centrao_uniao
José Priante,MDB,centrao_mdb
José Rocha,UNIÃO,centrao_uniao
Joseildo Ramos,PT,governo
Josenildo,PDT,centrao_uniao
Josias Gomes,PT,governo
Josimar Maranhãozinho,PL,oposicao
Josivaldo JP,PSD,centrao_mdb
Juarez Costa,MDB,centrao_mdb
Julia Zanatta,PL,oposicao
Juliana Cardoso,PT,governo
Julio Arcoverde,PP,centrao_uniao
Júlio Cesar,PSD,centrao_mdb
Julio Cesar Ribeiro,REPUBLICANOS,centrao_mdb
Julio Lopes,PP,centrao_uniao
Juninho do Pneu,UNIÃO,centrao_uniao
Junio Amaral,PL,oposicao
Júnior Ferrari,PSD,centrao_mdb
Junior Lourenço,PL,oposicao
Júnior Mano,PL,oposicao
Keniston Braga,MDB,centrao_mdb
Kiko Celeguim,PT,governo
Kim Kataguiri,UNIÃO,centrao_uniao
Lafayette de Andrada,REPUBLICANOS,centrao_mdb
Laura Carneiro,PSD,centrao_mdb
Lázaro Botelho,PP,centrao_uniao
Lebrão,UNIÃO,centrao_uniao
Lêda Borges,PSDB,centrao_uniao
Leo Prates,PDT,centrao_uniao
Leonardo Monteiro,PT,governo
Leônidas Cristino,PDT,centrao_uniao
Leur Lomanto Júnior,UNIÃO,centrao_uniao
Lídice da Mata,PSB,governo
Lincoln Portela,PL,oposicao
Lindbergh Farias,PT,governo
Loreny,SOLIDARIEDADE,centrao_uniao
Lucas Ramos,PSB,governo
Lucas Redecker,PSDB,centrao_uniao
Luciano Alves,PSD,centrao_mdb
Luciano Amaral,PV,governo
Luciano Azevedo,PSD,centrao_mdb
Luciano Bivar,UNIÃO,centrao_uniao
Luciano Ducci,PSB,governo
Luciano Vieira,REPUBLICANOS,centrao_mdb
Lucio Mosquini,MDB,centrao_mdb
Luis Carlos Gomes,REPUBLICANOS,centrao_mdb
Luis Tibé,AVANTE,centrao_uniao
Luisa Canziani,PSD,centrao_mdb
Luiz Carlos Busato,UNIÃO,centrao_uniao
Luiz Carlos Hauly,PODE,centrao_mdb
Luiz Carlos Motta,PL,oposicao
Luiz Couto,PT,governo
Luiz Fernando Faria,PSD,centrao_mdb
Luiz Gastão,PSD,centrao_mdb
